Gene	F_Hom	E_Hom	D_Hom	C_Wt	B_Wt	A_Wt
Fer1l6	90	13	30	29	12	5
Ferd3l	0	0	0	0	0	0
Fermt1	66	55	43	47	51	66
Fermt2	6862	7159	6499	4463	4047	3831
Fermt3	1160	1680	1837	817	782	621
Fes	1143	1501	1784	839	838	597
Fetub	130	100	94	102	134	187
Fev	0	2	0	0	0	0
Fez1	48	32	28	32	45	28
Fez2	1373	1313	1324	929	943	985
Fezf1	0	1	1	0	0	0
Fezf2	0	0	0	0	0	0
Ffar1	7	5	1	2	2	1
Ffar2	78	92	114	59	66	52
Ffar3	0	0	0	1	0	0
Ffar4	237	234	210	154	205	222
Fga	2	0	1	3	0	1
Fgb	0	0	0	2	0	0
Fgd1	294	297	268	156	176	139
Fgd2	532	694	812	307	320	240
Fgd3	336	499	549	212	251	144
Fgd4	341	414	375	163	226	209
Fgd5	1904	2101	2031	1239	1117	965
Fgd6	636	801	701	389	462	359
Fgf1	5232	5101	4519	3273	3878	3725
Fgf10	536	557	426	237	326	301
Fgf11	173	176	189	82	133	135
Fgf12	56	29	41	27	35	19
Fgf13	19	33	36	12	9	11
Fgf14	1	4	0	0	0	0
Fgf15	0	0	0	0	0	0
Fgf16	12	11	5	3	11	4
Fgf17	0	0	1	1	0	0
Fgf18	182	139	165	120	139	118
Fgf2	54	61	73	34	52	24
Fgf20	0	0	0	2	0	6
Fgf21	1	0	3	1	0	0
Fgf22	1	0	0	0	0	0
Fgf23	1	0	0	0	0	0
Fgf2os	0	3	1	2	3	0
Fgf3	1	0	0	0	0	0
Fgf4	0	0	0	0	0	0
Fgf5	0	0	1	2	2	0
Fgf6	0	0	0	0	0	0
Fgf7	442	424	411	279	332	354
Fgf8	0	0	0	0	0	0
Fgf9	12	9	16	8	6	13
Fgfbp1	210	178	136	145	180	208
Fgfbp3	60	43	45	38	55	46
Fgfr1	2048	2297	2483	1620	1580	1357
Fgfr1op	467	493	416	264	293	355
Fgfr1op2	1838	2072	1828	1086	1099	1279
Fgfr2	4151	3802	3272	2415	2941	2547
Fgfr3	2865	2786	2708	1941	2137	1873
Fgfr4	616	601	726	494	574	398
Fgfrl1	600	553	547	432	413	384
Fgg	10	8	6	3	5	4
Fggy	200	183	224	131	194	175
Fgl1	14	1	11	12	5	3
Fgl2	1095	1316	1159	641	642	611
Fgr	913	1457	2207	550	625	495
Fh1	909	980	961	562	559	601
Fhad1	478	407	356	316	461	471
Fhad1os1	0	0	0	0	0	0
Fhad1os2	0	0	0	0	0	0
Fhdc1	1171	1170	930	762	1142	887
Fhit	85	64	52	60	49	62
Fhitos	0	0	0	0	0	0
Fhl1	12071	10877	10048	8340	8176	8362
Fhl2	204	131	147	115	102	102
Fhl3	208	192	247	144	155	124
Fhl4	36	24	18	23	8	15
Fhl5	2	1	2	0	2	0
Fhod1	2783	2269	2632	1952	1874	1665
Fhod3	82	65	78	75	48	45
Fibcd1	0	1	2	1	0	0
Fibin	1057	1265	1062	828	731	820
Fibp	885	853	843	654	646	657
Ficd	310	350	284	203	248	224
Fig4	683	837	780	481	454	417
Figf	1062	904	1001	727	645	675
Figla	0	0	0	0	0	0
Fign	201	156	156	97	128	190
Fignl1	75	191	234	34	31	30
Fignl2	187	155	197	149	118	130
Filip1	529	567	522	301	344	322
Filip1l	2017	2083	1990	1125	1235	1092
Fip1l1	1079	1182	1104	705	840	766
Firre	174	125	116	93	112	114
Fis1	2565	2505	2987	2005	2558	2162
Fitm1	23	4	20	12	16	13
Fitm2	863	857	781	618	608	553
Fiz1	637	588	736	423	405	410
Fjx1	323	225	195	249	131	189
Fkbp10	1454	1328	1582	946	911	663
Fkbp11	176	116	173	123	150	94
Fkbp14	343	417	361	164	169	175
Fkbp15	1608	1872	1824	1072	1238	1052
Fkbp1a	6062	6167	6287	3956	3898	4241
Fkbp1b	112	124	147	63	89	81
Fkbp2	907	795	1017	535	635	683
Fkbp3	782	672	813	452	501	524
Fkbp4	4052	3790	3958	2451	2941	2645
Fkbp5	391	694	713	371	299	275
Fkbp6	0	1	0	0	0	0
Fkbp7	626	585	573	367	344	490
Fkbp8	6571	6463	6764	4752	4735	4830
Fkbp9	5440	5330	5057	3196	3525	3303
Fkbpl	128	143	147	124	105	108
Fkrp	795	848	870	523	600	484
Fktn	644	633	560	351	453	477
Flad1	365	373	406	268	300	233
Flcn	822	936	808	548	600	492
Flg	0	0	0	0	0	0
Flg2	0	0	0	0	1	0
Fli1	1186	1697	1477	884	758	800
Flii	3323	3597	3603	2226	2464	2187
Flna	17232	20969	23797	10875	12449	9007
Flnb	1872	2415	2211	1064	1233	887
Flnc	246	172	204	179	198	159
Flot1	2195	2067	2221	1524	1713	1522
Flot2	2305	2325	2354	1492	1595	1400
Flrt1	35	14	16	8	39	25
Flrt2	353	416	363	202	415	213
Flrt3	1714	1529	1374	927	852	1095
Flt1	3925	4203	3725	2939	3550	4077
Flt3	142	225	283	86	107	93
Flt3l	277	296	265	251	249	293
Flt4	1231	1389	1340	994	865	851
Flywch1	536	609	638	433	454	458
Flywch2	106	79	105	75	69	43
Fmn1	92	104	80	60	59	77
Fmn2	10	21	16	13	5	17
Fmnl1	1958	2857	3751	1339	1315	893
Fmnl2	660	1135	996	390	433	394
Fmnl3	2414	2613	2743	1753	1516	1300
Fmo1	5626	5081	4720	4212	4201	4433
Fmo2	10820	13190	9824	8171	10290	9455
Fmo3	635	654	484	440	619	848
Fmo4	19	35	26	16	29	30
Fmo5	575	594	480	302	478	449
Fmo6	14	3	14	10	11	19
Fmo9	0	0	0	0	0	0
Fmod	347	212	217	236	235	194
Fmr1	883	1098	871	464	485	587
Fmr1nb	1	0	0	2	2	4
Fn1	10672	12052	13816	6615	5532	3837
Fn3k	39	26	36	16	30	42
Fn3krp	320	344	323	189	214	265
Fnbp1	1757	2095	2190	1211	1401	1250
Fnbp1l	2584	2992	2458	1469	1841	1963
Fnbp4	986	1034	942	615	683	648
Fnd3c2	0	0	0	0	0	0
Fndc1	571	503	452	356	436	295
Fndc3a	1182	1446	1254	632	818	775
Fndc3b	2146	2558	2279	1155	1281	1119
Fndc3c1	2	1	2	2	0	1
Fndc4	151	154	172	75	106	85
Fndc5	410	261	298	255	316	321
Fndc7	120	125	118	92	88	72
Fndc8	4	0	6	3	0	0
Fndc9	0	0	1	0	1	0
Fnip1	820	1013	788	503	614	695
Fnip2	630	766	708	316	421	319
Fnta	1741	1609	1552	1041	1091	1171
Fntb	428	458	440	303	295	308
Focad	329	329	299	173	195	184
Folh1	0	3	3	1	2	1
Folr1	24	19	22	12	28	17
Folr2	97	111	129	37	65	61
Folr4	52	36	49	32	20	10
Fopnl	733	720	684	433	404	466
Fos	695	460	579	774	710	1246
Fosb	117	107	85	119	104	131
Fosl1	3	5	1	1	2	9
Fosl2	1478	1633	1683	837	1168	1006
Foxa1	761	695	613	432	508	491
Foxa2	764	642	650	517	632	628
Foxa3	10	2	8	12	7	7
Foxb1	0	0	0	0	1	0
Foxb2	0	0	0	0	0	0
Foxc1	79	93	54	51	53	58
Foxc2	31	11	22	8	14	14
Foxd1	1	0	1	0	0	1
Foxd2	8	20	15	4	3	13
Foxd2os	36	74	65	38	28	23
Foxd3	0	3	1	1	3	2
Foxd4	3	1	1	0	0	3
Foxe1	0	1	0	1	0	0
Foxe3	0	0	0	0	0	0
Foxf1	5363	6129	6475	3641	3025	3214
Foxf2	774	599	697	545	566	505
Foxg1	0	0	1	0	0	0
Foxh1	0	0	1	1	0	0
Foxi1	3	0	0	0	0	0
Foxi2	0	0	0	0	1	0
Foxi3	0	0	0	0	0	0
Foxj1	2320	1825	1861	1631	1844	1825
Foxj2	1402	1382	1392	912	1102	993
Foxj3	839	880	886	497	620	580
Foxk1	1332	1729	1569	971	1165	886
Foxk2	970	1131	1069	584	609	505
Foxl1	46	31	35	14	34	43
Foxl2	0	0	0	0	0	0
Foxl2os	0	0	0	0	0	0
Foxm1	206	566	715	102	98	62
Foxn1	0	0	0	0	1	0
Foxn2	860	1137	1188	544	584	523
Foxn3	640	865	675	443	579	593
Foxn4	38	41	29	29	31	17
Foxo1	1966	2035	1912	1415	1482	1435
Foxo3	1998	2642	2268	1564	1566	1375
Foxo4	1647	1550	1442	1012	1176	1172
Foxo6	52	49	43	59	50	43
Foxo6os	12	12	9	4	3	3
Foxp1	5122	5114	4811	3367	3977	3946
Foxp2	347	314	229	190	233	262
Foxp3	23	29	44	11	13	6
Foxp4	1636	1521	1567	1182	1648	1349
Foxq1	159	150	122	122	125	142
Foxr1	2	0	4	0	1	2
Foxr2	1	2	1	0	0	0
Foxred1	506	560	567	316	354	282
Foxred2	55	70	69	40	41	28
Foxs1	115	69	98	80	55	41
Fpgs	412	320	383	292	351	276
Fpgt	284	293	255	138	168	187
Fpr-rs3	0	0	0	0	0	0
Fpr-rs4	0	0	0	0	0	0
Fpr-rs6	0	0	0	0	0	0
Fpr-rs7	0	0	0	0	0	0
Fpr1	398	371	303	165	216	215
Fpr2	247	291	339	138	133	127
Fpr3	0	0	0	1	0	0
Fra10ac1	217	230	251	140	200	208
Fras1	498	390	479	358	449	216
Frat1	18	20	18	7	15	6
Frat2	72	84	79	57	53	51
Frem1	452	458	510	294	234	180
Frem2	102	59	91	45	45	42
Frem3	0	2	4	4	3	1
Frg1	566	650	720	477	502	560
Frk	238	253	216	111	119	141
Frmd3	2	5	5	4	3	6
Frmd4a	1788	2025	1799	1222	1231	1199
Frmd4b	1651	1739	1910	1086	1449	1018
Frmd5	75	86	60	30	34	34
Frmd6	1099	1303	1143	729	815	730
Frmd7	0	0	0	1	0	0
Frmd8	1369	1540	1810	1024	990	872
Frmd8os	10	6	8	5	7	14
Frmpd1	108	99	80	70	106	120
Frmpd1os	0	0	0	0	1	0
Frmpd3	0	0	0	0	1	0
Frmpd4	0	1	0	2	1	2
Frrs1	167	210	191	110	150	219
Frrs1l	1	4	2	3	2	1
Frs2	780	961	707	457	483	464
Frs3	78	64	68	70	71	54
Frs3os	1	1	0	0	0	0
Fry	1154	1264	1160	793	939	897
Fryl	1648	1662	1613	855	1019	903
Frzb	16	8	2	4	3	1
Fsbp	4	5	12	1	0	3
Fscb	0	0	0	0	0	0
Fscn1	1075	1466	2223	762	626	496
Fscn2	2	5	1	6	1	1
Fscn3	0	0	0	0	0	0
Fsd1	0	0	1	2	2	0
Fsd1l	302	328	214	126	218	177
Fsd2	117	112	106	88	82	93
Fshb	0	0	0	0	0	0
Fshr	0	0	0	0	0	0
Fsip1	95	86	52	42	49	75
Fsip2	0	0	0	1	0	0
Fst	74	64	41	39	45	42
Fstl1	7516	7663	8544	3982	3761	2757
Fstl3	676	645	604	441	447	507
Fstl4	63	41	39	44	40	21
Fstl5	0	0	1	0	0	0
Ftcd	0	0	0	0	1	0
Fth-ps2	5	10	6	10	19	12
Fth1	28284	28687	23018	21403	20856	25779
Fthl17	0	0	0	0	0	0
Ftl1	7160	6171	6382	4943	5354	4960
Ftl2	575	521	336	325	319	275
Ftmt	0	0	0	0	0	0
Fto	1781	1941	1836	1276	1308	1379
Ftsj1	306	260	291	171	178	186
Ftsj2	246	216	288	157	211	165
Ftsj3	662	611	721	422	501	471
Ftx	69	67	57	54	49	41
Fubp1	1692	1725	1925	1027	915	1061
Fubp3	1174	1062	1094	717	812	740
Fuca1	1425	1560	1467	997	987	988
Fuca2	2099	2215	2236	1249	1479	1329
Fuk	353	320	335	221	267	187
Fundc1	707	684	697	373	454	475
Fundc2	996	1082	1087	580	556	637
Fuom	166	129	147	105	97	126
Furin	3310	3572	3858	2305	2390	2083
Fus	4625	4043	4211	2940	3439	3375
Fut1	2	5	5	2	2	0
Fut10	205	255	231	91	129	114
Fut11	646	692	629	395	376	364
Fut2	23	25	17	8	16	12
Fut4	209	244	213	102	110	90
Fut7	27	34	56	19	21	18
Fut8	1233	1269	1211	609	730	593
Fut9	30	7	17	13	7	7
Fuz	460	366	397	304	299	333
Fv1	42	68	49	21	21	24
Fxn	144	95	105	79	70	69
Fxr1	1130	1232	1262	685	795	698
Fxr2	1520	1718	1642	1104	1263	1167
Fxyd1	1196	1031	867	1048	1082	1187
Fxyd2	38	31	38	26	29	32
Fxyd3	352	274	245	244	256	248
Fxyd4	10	6	7	5	15	8
Fxyd5	4329	4222	5852	2752	3313	2458
Fxyd6	332	299	273	237	310	263
Fxyd7	5	3	15	4	19	6
Fyb	538	755	1054	407	446	313
Fyco1	1383	1623	1310	863	1078	943
Fyn	1761	1905	2054	1052	991	778
Fyttd1	862	988	885	507	539	547
Fzd1	1582	1378	1362	983	875	780
Fzd10	15	13	8	3	6	3
Fzd2	967	786	1047	676	733	703
Fzd3	130	112	96	68	70	59
Fzd4	1121	1553	1056	568	692	575
Fzd5	911	881	773	499	628	563
Fzd6	1154	1096	928	640	592	600
Fzd7	1309	1223	1334	861	933	768
Fzd8	375	446	385	256	285	249
Fzd9	2	7	7	1	2	1
Fzr1	747	858	944	522	482	441
G0s2	1229	877	1166	1079	795	898
G2e3	251	436	432	131	163	159
G3bp1	2444	2589	2938	1460	1661	1620
G3bp2	2411	2510	2395	1405	1495	1576
G430049J08Rik	0	0	0	0	0	0
G430095P16Rik	31	38	47	13	19	11
G530011O06Rik	5	10	9	11	4	7
G530012D18Rik	0	0	0	0	0	0
G630016G05Rik	2	0	2	1	1	2
G630018N14Rik	0	0	0	0	0	0
G630030J09Rik	2	0	1	2	0	2
G630090E17Rik	15	14	19	9	14	12
G6b	83	181	67	78	36	46
G6pc	0	0	0	0	0	0
G6pc2	0	0	0	0	0	0
G6pc3	640	563	578	406	454	463
G6pd2	17	24	26	14	14	3
G6pdx	1145	1384	1613	792	792	684
G730003C15Rik	30	25	9	11	18	21
G730013B05Rik	6	4	1	1	2	11
G730046D07Rik	5	3	3	0	1	2
G930045G22Rik	0	0	0	0	0	0
GBP11	0	0	0	0	0	0
GM21425	0	0	0	0	0	0
Gaa	3127	2905	2986	2296	2443	2020
Gab1	1805	1713	1593	1222	1233	1180
Gab2	1536	1695	1662	882	1102	907
Gab3	125	146	134	92	113	140
Gabarap	5106	4847	6133	3598	4318	3812
Gabarapl1	3185	3282	2896	2042	2647	2479
Gabarapl2	648	593	622	371	438	355
Gabbr1	652	611	621	451	493	458
Gabbr2	0	5	3	0	2	0
Gabpa	994	1226	1000	503	624	556
Gabpb1	915	801	866	465	505	487
Gabpb2	1359	1611	1438	688	1002	846
Gabra1	2	1	1	1	3	0
Gabra2	0	0	0	1	0	0
Gabra3	167	126	128	73	189	148
Gabra4	17	12	10	4	10	7
Gabra5	0	0	0	0	0	0
Gabra6	0	0	0	0	0	0
Gabrb1	2	2	6	3	2	7
Gabrb2	0	0	1	0	1	0
Gabrb3	1	1	0	4	1	1
Gabrd	12	4	8	11	13	8
Gabre	42	39	45	31	56	47
Gabrg1	0	0	0	0	0	0
Gabrg2	0	0	0	0	1	0
Gabrg3	4	2	4	1	4	2
Gabrp	2142	1703	1488	1178	1474	1640
Gabrq	5	9	10	9	19	12
Gabrr1	0	0	0	0	0	0
Gabrr2	2	6	9	2	2	3
Gabrr3	0	0	0	0	0	0
Gad1	17	26	15	12	12	3
Gad1-ps	51	67	86	31	35	27
Gad1os	18	13	9	13	4	7
Gad2	0	0	1	0	0	1
Gadd45a	425	424	500	342	265	293
Gadd45b	1109	1165	882	1078	932	1218
Gadd45g	254	248	216	266	262	259
Gadd45gip1	409	400	455	298	275	309
Gadl1	1	0	0	0	1	0
Gak	2128	2499	2452	1394	1608	1424
Gal	43	49	40	25	53	47
Gal3st1	360	297	305	208	266	222
Gal3st2	3	13	6	3	5	1
Gal3st3	17	11	17	18	16	16
Gal3st4	0	0	0	0	0	0
Galc	598	602	534	337	350	357
Gale	273	199	270	161	148	201
Galk1	1333	1101	1401	839	1201	901
Galk2	818	815	831	478	520	579
Galm	262	267	272	144	165	189
Galns	585	563	571	348	372	303
Galnt1	2558	3170	3205	1491	1713	1557
Galnt10	668	925	945	470	389	291
Galnt11	526	578	469	350	401	290
Galnt12	119	136	161	80	83	60
Galnt13	63	55	70	28	35	30
Galnt14	3	1	0	1	1	3
Galnt15	518	562	403	350	566	520
Galnt16	151	139	131	111	85	44
Galnt18	3532	3574	3427	2609	2492	2289
Galnt2	9	10	3	10	1	4
Galnt3	350	320	262	166	179	243
Galnt4	854	976	946	489	509	436
Galnt5	47	42	42	30	42	38
Galnt6	434	409	466	269	322	279
Galnt6os	0	0	0	0	0	0
Galnt7	309	352	336	151	210	186
Galnt9	22	43	29	13	19	5
Galntl5	0	0	0	0	0	0
Galntl6	6	4	5	0	5	6
Galp	0	0	0	0	0	0
Galr1	0	0	0	0	0	0
Galr2	0	0	0	0	2	0
Galt	390	360	369	284	284	295
Gamt	259	199	273	157	171	179
Gan	103	135	118	55	94	86
Ganab	3009	3319	3241	1833	2129	1900
Ganc	379	372	365	216	257	243
Gap43	570	369	462	360	390	325
Gapdh	5871	5561	7755	3532	4220	2958
Gapdhs	2	0	0	0	1	2
Gapt	51	80	112	34	39	26
Gapvd1	2051	2263	2151	1326	1526	1469
Gar1	251	263	347	213	202	228
Garem	120	108	86	60	110	74
Gareml	2	1	0	2	1	0
Garnl3	359	353	342	225	253	181
Gars	2069	2088	2354	1204	1330	1249
Gart	1035	976	1070	637	758	680
Gas1	1263	951	1057	738	1025	773
Gas2	79	73	60	44	43	41
Gas2l1	1505	1923	1513	1050	1057	927
Gas2l2	110	100	94	70	87	91
Gas2l3	85	192	233	26	38	30
Gas5	1113	983	1091	768	788	983
Gas6	9299	8461	7578	6160	7969	6377
Gas7	1317	1362	1448	902	1106	899
Gas8	444	451	409	298	385	395
Gast	0	0	0	0	0	1
Gata1	41	41	47	23	18	14
Gata2	2816	2766	2628	2066	1863	1851
Gata3	279	289	300	221	288	338
Gata4	68	45	68	43	74	39
Gata5	258	210	356	234	303	211
Gata5os	6	3	2	2	2	0
Gata6	1017	935	1135	686	812	723
Gatad1	1520	1686	1632	943	952	925
Gatad2a	2435	2533	2521	1742	1762	1619
Gatad2b	390	569	450	257	315	206
Gatb	233	210	204	128	145	137
Gatc	360	394	415	240	272	250
Gatm	196	269	345	100	86	74
Gatsl2	611	675	670	454	575	578
Gatsl3	491	377	413	329	325	299
Gba	897	902	1064	538	572	505
Gba2	482	500	591	310	354	269
Gbas	1302	1149	1101	779	862	890
Gbe1	486	509	490	329	334	367
Gbf1	1799	1973	1890	1272	1373	1180
Gbgt1	76	56	92	36	50	39
Gbp11	5	1	1	4	1	2
Gbp2	1520	1908	2384	1100	1232	1078
Gbp3	1080	1370	1545	787	693	613
Gbp4	673	1140	1263	621	571	404
Gbp5	296	533	579	276	249	196
Gbp6	371	525	647	267	247	195
Gbp7	1688	2064	2253	1463	1177	1131
Gbp8	83	100	113	47	63	53
Gbp9	918	1450	1466	657	622	517
Gbx1	0	0	1	0	0	0
Gbx2	0	2	0	1	0	3
Gc	12	10	9	5	6	6
Gca	207	200	199	109	137	176
Gcat	183	197	232	164	164	232
Gcc1	938	955	874	508	675	577
Gcc2	1811	1952	1717	1186	1440	1443
Gcdh	384	412	329	248	258	324
Gcfc2	117	141	155	78	87	89
Gcg	0	0	0	0	0	0
Gcgr	2	4	10	11	6	8
Gch1	322	321	400	206	187	206
Gchfr	71	124	109	56	48	41
Gck	73	56	49	43	50	52
Gckr	3	0	1	0	0	3
Gclc	3005	2617	2451	1724	2057	1911
Gclm	969	1061	919	577	624	690
Gcm1	1	0	0	1	3	2
Gcm2	3	5	2	7	4	0
Gcn1l1	1453	1683	1672	1021	1180	921
Gcnt1	225	258	301	116	157	129
Gcnt2	1846	2043	1653	1115	1396	1365
Gcnt3	2	1	0	4	0	0
Gcnt4	3	5	1	4	2	3
Gcnt7	0	0	0	0	0	0
Gcom1	0	0	0	0	0	0
Gcsam	59	75	109	20	38	28
Gcsh	399	379	452	197	316	376
Gda	1204	1499	1833	702	747	688
Gdap1	4	1	1	0	1	0
Gdap10	14	15	7	13	9	21
Gdap1l1	1	2	1	4	5	4
Gdap2	402	435	430	217	201	233
Gde1	2977	2803	2624	1903	1832	1692
Gdf1	0	0	0	0	0	0
Gdf10	487	338	396	314	475	317
Gdf11	132	97	115	55	67	58
Gdf15	28	20	28	28	46	35
Gdf2	57	33	44	22	54	27
Gdf3	2	0	0	2	0	1
Gdf5	19	8	10	8	9	2
Gdf6	12	12	10	4	8	5
Gdf7	1	0	1	2	1	0
Gdf9	18	20	24	10	4	9
Gdi1	3224	2896	2912	1980	2248	2281
Gdi2	6438	7786	8191	3657	3972	3814
Gdnf	152	155	133	67	140	104
Gdpd1	605	716	553	378	420	454
Gdpd2	222	213	137	117	178	166
Gdpd3	45	55	61	41	45	34
Gdpd4	1	0	1	0	0	0
Gdpd5	619	615	817	539	516	374
Gdpgp1	75	127	123	89	65	64
Gem	743	720	612	396	310	320
Gemin2	142	148	172	90	89	75
Gemin4	3	3	1	2	4	2
Gemin5	385	434	501	281	303	240
Gemin6	87	85	64	41	41	56
Gemin7	949	970	1057	657	633	697
Gemin8	108	95	132	64	73	66
Gen1	33	66	57	14	18	15
Get4	858	838	926	604	618	556
Gfap	6	8	6	5	5	6
Gfer	224	247	236	185	143	155
Gfi1	14	15	16	17	11	12
Gfi1b	4	8	27	5	5	1
Gfm1	828	824	823	513	553	555
Gfm2	448	436	477	280	305	248
Gfod1	827	793	726	425	500	442
Gfod2	539	603	643	368	411	338
Gfpt1	1724	1709	1736	883	1148	1142
Gfpt2	226	229	266	135	218	142
Gfra1	407	364	345	227	316	309
Gfra2	877	728	928	506	596	411
Gfra3	9	9	7	6	3	3
Gfra4	18	15	20	14	15	18
Gfral	0	0	0	0	0	0
Gfy	6	4	3	2	4	4
Gga1	2645	2542	2713	1892	2193	1862
Gga2	901	942	880	578	661	417
Gga3	664	664	659	392	474	400
Ggact	619	495	633	389	428	451
Ggct	96	98	146	93	86	94
Ggcx	1153	1251	1182	773	807	750
Ggh	783	848	1007	451	526	544
Ggn	29	30	34	23	28	15
Ggnbp1	83	71	66	56	86	82
Ggnbp2	1783	1870	1745	1119	1358	1565
Ggps1	534	666	573	245	333	313
Ggt1	34	24	8	19	14	28
Ggt5	256	227	259	160	205	176
Ggt6	93	71	80	53	67	70
Ggt7	43	29	24	20	33	27
Ggta1	2008	2227	2205	1150	1099	1006
Gh	3	4	7	4	1	0
Ghdc	416	395	458	270	280	293
Ghitm	2972	3271	2989	1903	1958	2089
Ghr	1798	1980	1685	1078	1166	1154
Ghrh	1	1	0	1	2	2
Ghrhr	3	0	3	0	0	3
Ghrl	34	48	33	26	45	49
Ghsr	0	0	0	0	0	0
Gid4	1782	1769	1589	1070	1374	1292
Gid8	1043	1026	1087	644	662	529
Gif	4	8	2	0	5	0
Gigyf1	1457	1399	1330	1078	1345	1305
Gigyf2	1343	1442	1444	904	1089	1051
Gimap1	986	1017	1127	691	719	678
Gimap1os	87	69	91	53	49	41
Gimap3	272	268	309	220	160	122
Gimap4	3113	3560	3976	1958	1660	1617
Gimap5	506	561	645	410	389	356
Gimap6	3569	3699	3387	2233	2084	1780
Gimap7	120	83	109	74	65	50
Gimap8	1164	1225	1193	619	576	546
Gimap9	272	293	300	175	169	157
Gin1	188	146	133	95	82	130
Ginm1	1521	1536	1439	859	961	979
Gins1	42	73	99	31	22	23
Gins2	56	151	174	33	40	27
Gins3	98	134	149	43	65	58
Gins4	561	626	595	313	343	356
Gip	0	0	0	0	0	0
Gipc1	1113	1091	1160	842	770	622
Gipc2	1038	823	763	622	763	859
Gipc3	49	77	71	65	62	36
Gipr	0	0	0	0	0	1
Git1	2710	2682	2885	2020	2088	1678
Git2	2337	2675	2836	1618	1715	1481
Gja1	2361	2081	2079	1233	1395	1225
Gja10	0	0	0	1	0	0
Gja3	5	2	2	6	2	0
Gja4	2033	1636	2605	1733	1088	1240
Gja5	1826	1360	1505	800	985	1096
Gja6	4	5	8	3	6	4
Gja8	0	0	1	2	1	0
Gjb1	82	53	37	50	48	33
Gjb2	72	63	81	60	56	54
Gjb3	52	36	18	27	37	27
Gjb4	5	3	0	1	1	1
Gjb5	20	22	31	13	25	10
Gjb6	158	153	110	111	123	153
Gjc1	427	587	465	291	239	256
Gjc2	78	75	73	69	73	49
Gjc3	2	3	2	3	1	2
Gjd2	1	0	1	0	0	0
Gjd3	1	0	1	0	3	0
Gjd4	0	0	0	0	0	0
Gje1	0	0	0	0	0	0
Gk2	0	2	2	0	0	2
Gk5	80	98	74	33	56	57
Gkap1	492	467	555	306	360	410
Gkn1	0	0	0	0	1	0
Gkn2	0	0	0	1	0	0
Gkn3	80	34	59	51	47	41
Gla	248	267	277	190	179	177
Glb1	589	643	642	372	405	333
Glb1l	291	287	240	170	197	168
Glb1l2	1082	925	904	618	783	883
Glb1l3	41	32	33	36	34	21
Glcci1	12	15	9	11	11	9
Glce	425	505	391	257	260	291
Gldc	6	3	4	2	0	3
Gldn	4	0	0	0	5	2
Gldnos	0	0	0	0	0	0
Gle1	1102	1244	1119	667	851	763
Glg1	4738	5053	4806	3111	3586	3453
Gli1	197	184	169	86	132	94
Gli2	143	146	145	68	113	103
Gli3	164	156	173	72	102	107
Glipr1	422	517	602	227	259	237
Glipr1l1	0	0	0	0	0	0
Glipr1l2	0	0	0	0	0	0
Glipr2	827	953	1187	542	451	390
Glis1	2	8	11	7	4	8
Glis2	1253	1165	1523	985	1145	879
Glis3	251	269	276	148	220	185
Glmn	123	117	108	64	65	74
Glmp	2477	2250	2334	1738	1582	1524
Glns-ps1	114	134	80	52	61	42
Glo1	1092	980	1119	752	685	745
Glod4	1191	1189	1194	666	735	728
Glod5	1	0	0	0	0	0
Glp1r	704	1197	892	418	406	314
Glp2r	2	2	0	0	0	0
Glra1	0	0	0	0	0	0
Glra2	1	1	0	0	0	0
Glra3	0	0	0	0	0	0
Glra4	0	0	2	0	0	0
Glrb	7	8	6	5	3	8
Glrp1	3	5	12	2	4	5
Glrx	637	607	736	344	377	329
Glrx2	325	350	347	233	245	276
Glrx3	1097	1178	1497	626	699	611
Glrx5	622	513	564	406	437	554
Gls	1682	1863	1687	841	926	1111
Gls2	12	15	20	6	10	9
Glt1d1	39	27	23	28	31	21
Glt28d2	109	119	99	65	65	62
Glt6d1	0	0	0	0	0	0
Glt8d1	652	677	668	392	403	396
Glt8d2	106	120	95	66	82	71
Gltp	2531	2783	2949	1614	1965	1601
Gltpd2	0	1	2	1	0	0
Gltscr1	477	494	488	306	357	232
Gltscr1l	680	756	629	430	584	440
Gltscr2	4063	4187	4714	3063	3435	2907
Glud1	3160	3799	3933	2026	1966	2071
Glul	4831	5894	5071	2996	3865	3495
Glyat	1	0	1	0	0	0
Glyatl3	0	0	0	0	0	0
Glycam1	0	0	0	0	0	0
Glyctk	49	68	45	25	43	37
Glyr1	3619	3894	3827	2134	2334	1938
Gm10000	0	0	0	0	0	0
Gm10010	3	3	2	2	1	0
Gm10011	0	0	3	2	0	1
Gm10012	40	37	33	22	18	35
Gm10013	0	0	0	0	0	0
Gm10015	1	1	0	0	1	1
Gm10020	66	78	56	39	35	33
Gm10024	0	0	0	0	0	0
Gm10025	0	0	0	0	0	0
Gm10029	22	22	12	17	12	22
Gm10030	0	0	1	1	0	0
Gm10031	0	0	0	0	0	0
Gm10032	2	2	7	5	3	3
Gm10033	27	20	30	13	16	19
Gm10036	246	240	236	160	132	157
Gm10037	3	4	3	3	2	3
Gm10038	0	0	1	0	0	0
Gm10039	140	132	89	66	55	69
Gm10040	1	2	1	0	0	3
Gm10042	0	0	0	0	0	0
Gm10044	18	26	14	18	20	16
Gm10045	235	230	194	197	157	248
Gm10051	250	222	142	188	160	148
Gm10052	245	253	258	128	133	82
Gm10053	64	51	50	20	46	28
Gm10057	0	0	0	0	0	0
Gm10058	0	0	0	0	0	0
